:מד	594
:מג	259
:מב	181
:מא	739
:מח	790
:מו	1516
q-1	614
:מי	1277
q-2	248
:ממ	187
:מל	660
27°	776
hūj	171
27º	1073
gae	28991
éry	5144
çıl	490
érp	15363
érr	31920
érs	4356
ért	22906
éru	2458
érv	2567
gab	148602
éri	360133
:מס	432
érk	366
:מק	361
érm	132951
érn	2652
éro	45476
éra	35713
:מש	829
érc	165020
érd	33016
ére	157979
érf	5802
érg	11166
:מט	235
q-s	256
q-t	541
-lx	204
q-4	172
со 	590
q-a	335
со-	250
q-e	211
q-d	188
q-f	205
şov	537
«17	194
h:自	252
şoa	495
ér.	1012
ér 	762
27 	164087
27"	869
27#	311
27%	6524
27&	2435
27'	932
27(	395
27)	22765
/72	1121
27+	195
27,	21724
27-	13898
27.	29182
27/	5793
270	42014
271	17663
272	18467
273	17253
274	16657
275	24835
276	17237
277	19241
278	17353
279	16132
27:	3120
27;	976
27<	397
27=	2340
:英国	185
列省)	199
érô	1973
érè	1123
éré	4904
šće	197
cav	81119
१य्	301
27a	620
27b	200
27c	298
27d	211
27e	439
27h	175
27j	171
ō t	1493
27p	905
ō u	262
27t	231
šća	204
27x	245
ō r	482
27|	18584
27}	235
tíu	275
ō p	517
ගය:	240
băs	180
ō |	841
27_	675
er—	483
er–	881
er“	170
er”	4005
er’	1625
تر 	852
dg&	190
dne	40611
dnd	205
dnf	792
dna	16952
dnc	252
dnb	296
dnm	304
7fc	196
dno	9286
7fa	1149
7ff	100052
ō d	1393
7fd	279
dnj	562
dnu	1647
dnt	298
ō e	1298
dnq	1521
dnp	3979
dns	3295
dnr	252
 £2	332
ō b	199
 £1	595
اطع	2726
ō c	585
اطل	208
·德·	204
اطق	355
:מפ	548
اطو	273
اطي	295
!!t	1506
:英國	305
:מת	276
ुरा	245
dg-	333
érb	615
i_°	13070
dn'	1615
:מר	873
h:胡	238
dn 	11074
н. 	4563
ō j	304
7f 	198
dn.	2697
dn)	2078
ō k	1722
7f;	296
7f8	44400
7f9	909
ō h	1369
dn=	222
7f3	902
7f0	8394
7f1	3850
7f6	1043
7f7	1811
7f4	186
7f5	752
்று	189
i_n	586
i_m	400
アーノ	460
i_j	181
i_i	415
i_g	185
i_f	253
i_e	357
i_d	474
i_c	567
i_b	297
i_a	1902
i_{	1166
òpi	220
i_t	227
i_s	414
i_r	401
òpo	206
i_p	569
dná	622
dní	1611
dné	516
i_\	276
dný	334
4&m	404
4&l	615
4&o	539
4&n	16869
4&i	956
4&e	307
4&d	574
4&f	252
4&a	616
4&c	795
ος,	1071
h:聖	563
ος)	1222
4&t	620
4&v	281
i_2	725
ος 	6343
i_0	426
!!s	2850
a;"	25579
q-m	208
t_t	2526
 مک	441
fir	361071
fis	249472
fip	2350
fiq	7138
fiv	7960
uov	5518
fit	62415
fiu	6517
fiz	5900
uoz	622
fix	9653
fiy	3672
تيس	210
ابع	341
h:莫	989
uo|	206
fib	36467
fic	3349433
uoa	385
fia	124612
fif	25362
fig	163297
fid	40558
fie	331087
تيا	517
fik	4812
uoi	6741
fii	1580
fin	1111620
fio	24281
fil	525285
uol	8300
|1a	280
p=3	3333
cfp	523
ابل	863
ابن	322
ابه	488
ابق	433
تيو	295
تين	954
تيم	221
تيل	383
ابو	820
ابي	634
 სა	1672
9w4	280
9w3	310
9w2	304
9w1	323
9w0	308
fi:	162314
uo:	1539
fi=	1346
uo#	203
uo"	717
fi 	20984
uo 	114760
fi'	357
*y 	428
h:菲	394
0ýý	208
uo)	1968
fi)	1068
fi.	2015
uo.	7063
fi,	3006
uo,	9183
syc	16500
tí;	181
dgc	633
7id	807
z<b	3657
syg	797
syf	872
fió	4375
fiñ	424
syd	13236
біо	378
fiá	487
ิสต	1583
syj	949
fiè	374
fié	476
syi	380
syh	195
6qp	312
6qq	378
syn	105580
6qn	176
gañ	18847
6ql	397
ابی	531
z</	3074
syl	35698
رم 	290
ō -	215
(曼恩	176
syr	10693
uo»	200
біа	175
gaí	748
рња	273
tí.	2228
syw	218
dgw	2468
ūbi	273
dgt	267
q0,	330
syt	3572
q0%	287
q08	1935
q09	938
ísu	238
b(1	12451
b(0	13711
q00	330
b(2	1795
q06	812
q07	676
q04	964
q05	1075
h:花	170
íst	353908
یں 	378
季奧林	503
q0j	2535
q0i	1146
h:苏	403
b(e	172
q0d	2245
q0e	508
q0p	662
q0v	1091
q0w	940
нэр	246
a;c	188
h:英	308
ექს	361
ექტ	342
у и	260
дзу	273
у к	805
у л	201
у м	523
у н	475
у о	230
у п	576
у а	399
у б	422
у в	482
у г	401
у д	831
дзя	598
дзь	375
у з	559
дзі	3598
vgl	275
:루이	187
vgn	973
vgo	3811
vgi	215
)la	4655
vge	3422
кэр	243
vgg	280
vga	1728
vgb	178
)li	990
vg|	15557
eńs	1125
)lu	585
vgu	884
vgv	248
vgp	575
aé 	316
vgr	1033
 y(	257
ွန်	224
/c-	407
¿19	191
vg,	359
vg-	321
vg.	738
/c/	585
aéz	399
/c.	203
vg 	7911
aér	82291
aél	2793
дза	397
aén	17681
vg8	524
уще	214
дзе	6194
у р	338
у с	1204
у т	520
h:艾	792
у ф	643
у х	175
vg2	211
s%3	352
s%2	5746
رمی	259
=9|	7322
em–	503
em”	213
irú	8016
irò	388
iró	46422
h:薩	316
ษที	273
соф	1667
iré	9230
соц	1664
соч	228
اب 	2065
irí	66725
сот	3704
irà	452
irá	88505
сою	1011
irã	1510
تي 	461
сод	232
сое	239
соз	435
สาร	256
соб	2051
сов	3785
=9.	2606
сом	1363
сон	8155
соо	466
соп	422
=9%	1929
сок	3404
сол	2356
=99	5644
=98	6024
s%c	572
=9>	487
=91	6569
=90	9946
=93	7043
=92	6781
=95	10051
=94	6511
=97	8347
=96	5976
4.4	19172
ir»	1122
*gn	221
zαη	2248
f_c	851
אטר	184
*ga	7574
ر إ	176
สาธ	385
ir_	621
رمو	713
رمي	272
ìá 	265
f_i	474
rî:	755
(πο	232
4.6	18445
(πε	216
irx	260
iry	10421
irz	2892
ir{	499
ir|	1933
:إل	316
:إم	185
irp	20385
irq	2470
irr	122984
irs	206142
irt	195942
iru	75975
irv	79092
irw	12710
xvi	147365
iri	669550
irj	3176
irk	28700
irl	178436
irm	299771
irn	15996
iro	358729
xva	343
ira	736714
irb	17224
irc	177630
ird	41158
ire	2404779
irf	5120
irg	123959
:إد	267
27m	298
:إس	328
:إر	199
+13	1558
+12	1824
ir:	8211
+10	2949
+17	926
ir=	1500
رما	1304
+14	1678
+1:	1230
+19	935
+18	1759
رمج	266
xv)	1487
ir)	7605
+1 	3335
ir,	81510
ir-	6365
ir.	42045
xv.	4302
ir 	1051946
xv 	15358
ir"	4967
ir#	1524
+1.	953
+1,	958
н.э	671
h:蒂	367
_kö	254
ьгі	255
,a4	886
4.2	24521
h:蒙	1448
fr]	181
lân	4000
frc	338
fra	1442753
frg	547
टेन	451
fre	709062
9jh	175
9ji	236
fri	335648
9jk	188
fro	470680
frn	238
frm	700
frs	613
frr	2632
frp	2410
वीप	178
fru	91705
fry	5985
y8%	299
fr|	33691
 yh	906
ha̍	325
/ch	11063
/cj	226
(şa	194
 yl	2001
מזר	178
 ym	1474
oân	176
ẹ̀ 	1212
fr 	16687
 yn	3884
h:蓬	230
fr)	1394
/cn	721
fr/	14562
fr.	6295
fr-	2985
fr,	620
ьге	632
ьга	420
ьго	187
fr:	464110
н.е	1200
ьги	595
/cb	441
 yd	1629
30º	1456
/cd	10451
:ซิ	193
s#d	189
°58	246
 yf	670
°54	188
°55	266
°56	207
°57	235
°50	311
°51	209
°52	231
°53	224
frá	10964
fræ	875
frå	2568
frä	674
frê	234
fré	11561
frè	1131
h:萨	965
frí	40960
يجو	197
fró	1630
frö	1111
*nú	2487
frú	248
 مس	1091
ld)	5798
frü	958
ট্র	484
ld/	2217
jcl	191
irā	236
/cs	1239
 ys	2614
 yt	1312
30ª	219
/ct	445
布省)	242
>yu	400
खेळ	314
p4/	254
รรด	383
a,,	294
รรณ	216
p4,	501
ha\	454
 íñ	3367
ha^	176
ha_	57925
;km	20439
hai	87407
haj	15114
hak	52664
hal	358236
ham	393102
han	793807
hao	19122
;ke	197
haa	109885
hab	1284181
hac	826237
had	216429
hae	129330
haf	42990
hag	92601
hax	2060
hay	329284
haz	67816
ha{	1147
ha|	3806
ha}	776
hap	88205
haq	8237
har	816919
has	904151
hat	135341
hau	98666
hav	61459
haw	67514
d š	294
شور	1553
شوا	230
ha(	535
ha)	12687
ha,	53550
ha-	10035
ha.	36427
ha/	1718
ha 	1846209
ha!	1825
ha"	4188
ha#	3200
ha&	674
ha'	2265
ha:	7260
ha;	1654
ha<	1108
ha=	81048
ha?	425
ha0	1222
ha1	594
ha2	7301
 íd	6643
 íg	2011
 íb	2374
 íc	2925
 íl	489
 ím	1161
 ín	46578
 ío	508
 ít	3498
.tá	366
 ír	404
 ís	1440
ípc	205
haé	196
haë	1488
haí	974
haî	557
haï	1400
a,2	455
haç	585
ípo	4930
hañ	1688
a,1	982
-7:	350
|$3	597
|$2	752
|$1	1478
 í 	1395
|$6	284
|$5	447
|$4	550
|$9	228
|$8	239
ルス・	173
7fb	180
ha»	795
d '	1332
d &	10349
d $	308
d #	64185
d "	8570
d !	2529
d  	308590
d /	4391
dni	19910
d -	23989
d ,	1812
d +	1516
d *	288
d )	423
d (	175893
s80	409
d 6	2923
d 5	3580
d 4	5075
d 3	6025
☏ 1	289
d 1	77096
d 0	4554
d >	518
d =	287836
d <	2907
d ;	285
d :	2451
d 9	2273
d 8	2272
haš	270
äst	3786
äss	873
ნტა	216
äsm	601
äsk	616
äsi	1056
ნტი	907
äse	930
ნტო	284
äsc	376
d g	97133
d f	136169
d e	416460
d d	1437056
d c	315600
d b	153100
d a	314837
d o	115757
d n	108915
