:מד	566
:מג	238
:מב	131
:מא	674
:מח	781
:מז	137
:מו	1414
:מה	124
q-1	222
:מי	1149
:מט	196
:ממ	158
:מל	625
27°	738
պատ	239
27º	1624
gae	14721
éry	2918
çıl	400
érp	8876
érr	5432
érs	13883
ért	9086
éru	1061
érv	15124
gab	57869
éri	526991
:מס	397
érk	296
:מק	328
érm	16905
érn	1264
éro	10095
éra	16903
érb	1871
érc	82274
érd	540
ére	45338
érf	879
érg	18600
q-s	191
空母艦	129
q-t	352
ею 	147
со 	500
со-	218
q-e	123
q-d	128
şov	926
şor	266
,j.	128
h:自	221
şoa	680
ér.	126
ér 	492
27 	102886
27"	1074
27#	221
27%	1236
27&	1181
27'	1025
27(	144
27)	6783
27+	146
27,	14173
27-	4883
27.	13700
27/	3510
270	18961
271	10863
272	10201
273	10662
274	9187
275	16109
276	9222
277	9155
278	8510
279	9044
27:	2794
27;	377
27<	265
27=	734
&r™	709
:英国	167
列省)	199
érô	984
érè	456
éré	2642
cav	121569
१य्	354
27a	289
27c	147
27d	144
27e	189
27k	210
27m	9415
27p	428
27s	527
27t	156
27{	134
27|	5456
18k	120
ගය:	233
băs	145
27]	282
er–	450
er”	1695
er’	858
تر 	823
dne	26919
dnd	118
dnf	4995
dna	15492
dnc	117
:מע	441
7fb	240
dno	5931
7fa	476
dni	12659
ō d	282
dnk	142
dnj	454
dnu	535
er…	424
ō e	325
dnq	2506
dnp	919
dns	2921
 £2	176
 £1	293
اطع	2696
:מצ	174
اطل	340
·德·	173
اطق	243
সুল	150
:מפ	480
اطو	267
اطي	230
:英國	276
:מת	230
лто	624
sy,	2144
:מש	720
i_°	1340
dn'	1161
:מר	764
h:胡	225
dn 	3020
н. 	5183
dn,	772
dn/	329
dn.	999
dn)	449
ō k	397
7f8	2018
7f9	277
dn1	129
ō h	386
7f2	507
7f3	355
7f0	855
ō i	202
7f6	9630
7f7	1205
7f5	1332
i_o	222
i_n	302
i_m	862
アーノ	444
i_k	119
i_i	210
i_h	153
i_g	159
i_f	121
i_e	176
i_d	391
i_c	699
i_b	158
i_a	976
i_{	417
òpi	136
i_v	479
i_t	125
i_s	283
i_r	909
i_p	798
dná	357
_kg	580
dní	1341
dné	456
i__	140
h:耶	204
dný	274
4&l	178
4&o	590
4&n	20063
4&i	237
4&d	194
4&c	242
ος,	575
h:聖	501
ње)	123
cft	142
ος)	650
7ce	3733
4&t	217
ufl	4531
র্ক	361
i_2	340
ος 	4324
i_0	171
アーカ	122
іан	1229
 ді	402
q-m	144
تي،	158
 مک	348
fir	131774
fis	129558
fip	25108
fiq	13712
fiv	5552
uov	3468
fit	36384
uot	12269
fiz	41503
uoz	266
fix	36447
fiy	652
تيس	193
ابع	311
h:莫	892
fib	10804
fic	1145180
uoa	401
fia	340093
fif	29552
fig	86369
fid	19566
fie	66111
uok	25798
fik	3916
uoi	1717
fii	819
fin	527532
fio	27990
fil	781865
fim	103664
|1a	151
a;<	282
ابل	883
ابن	280
ابه	487
ابق	387
تيو	289
تين	919
تيم	209
تيل	371
ابو	738
ابي	547
 სა	1479
mất	2527
fi:	147492
uo:	178
ufm	3664
uo"	308
fi 	8961
uo 	24424
fi'	143
h:菲	390
0ýý	204
uo)	814
fi)	725
fi.	820
uo.	2453
fi,	1396
uo,	3263
-ão	333
dgc	314
ドリヒ	159
ôco	295
z<b	1819
dgf	1057
gaú	13177
fió	471
fiú	290
dge	65159
رڈ 	176
fiã	375
fiá	13079
ิสต	840
rův	143
syj	511
fiè	232
fié	3730
syi	364
бій	122
dgn	131
syn	17387
gañ	603
ابی	498
z</	2823
syl	19775
رم 	250
біз	120
(曼恩	173
syr	6534
tí,	181
 آئ	143
gaí	346
рња	273
 yö	600
syw	165
(dä	130
gaê	3112
syu	1808
syt	1890
ьха	227
fiń	142
ísu	227
b(1	939
b(0	1450
b(2	734
e46	226
h:花	122
یں 	296
বুর	118
季奧林	714
h:苏	372
jáv	2269
b(x	121
mšt	138
b(s	121
нэр	236
нэт	132
êde	137
b([	706
h:英	276
a;b	131
y=e	1074
p=n	469
8es	151
у и	206
дзу	322
у к	806
у л	402
у м	439
у н	564
у о	194
у п	499
у а	405
у б	352
у в	345
у г	392
у д	955
дзя	513
дзь	336
у з	497
дзі	3971
,au	150
 군사	162
vgl	184
:루이	177
vgn	172
vgo	1237
vgi	141
)la	361
кэт	142
vge	2594
кэр	235
vgg	329
